ts,old_speed,new_speed,new_is_stale,new_is_stat
1773218922000,0.00,0.00,false,false
1773218928000,0.00,0.00,false,false
1773218930000,0.00,0.00,true,false
1773218934000,53.46,21.38,false,false
1773218936000,53.46,21.38,true,false
1773218939000,52.35,33.77,false,false
1773218941000,52.35,33.77,true,false
1773218943000,61.09,42.01,false,false
1773218947000,17.29,42.01,true,false
1773218949000,34.14,44.36,false,false
1773218951000,30.51,43.50,false,false
1773218954000,30.51,43.50,true,false
1773218956000,0.00,43.50,true,false
1773218959000,0.00,43.50,true,false
1773218961000,0.00,36.27,false,false
1773218965000,0.00,36.27,true,false
1773218969000,0.00,36.27,true,false
1773218973000,0.00,36.27,true,false
1773218975000,0.00,36.27,true,false
1773218978000,0.00,36.27,true,false
1773218982000,0.00,24.34,false,false
1773218985000,7.33,17.49,false,false
1773218990000,18.46,13.89,false,false
1773218994000,29.21,13.57,false,false
1773218999000,29.21,13.57,true,false
1773219001000,40.88,16.03,false,false
1773219003000,36.67,16.03,true,false
1773219013000,26.24,10.00,false,false
1773219020000,26.24,10.00,true,false
1773219022000,0.00,10.00,true,false
1773219026000,0.00,10.00,true,false
1773219028000,0.00,10.00,true,false
1773219032000,0.00,10.00,true,false
1773219036000,0.00,7.48,false,false
1773219038000,0.00,7.48,true,false
1773219041000,0.00,7.64,false,false
1773219044000,0.00,7.64,true,false
1773219049000,0.00,7.22,false,false
1773219051000,6.02,7.75,false,false
1773219054000,6.02,7.75,true,false
1773219056000,0.00,6.00,false,false
1773219059000,0.00,6.00,true,false
1773219062000,0.00,6.00,true,false
1773219067000,0.00,4.19,false,false
1773219070000,0.00,4.19,true,false
1773219076000,0.00,4.19,true,false
1773219079000,0.00,3.34,false,false
1773219081000,0.00,3.34,true,false
1773219084000,6.30,4.06,false,false
1773219087000,16.23,5.95,false,false
1773219091000,16.23,5.95,true,false
1773219095000,29.87,8.68,false,false
1773219097000,29.87,8.68,true,false
1773219100000,41.00,14.41,false,false
1773219104000,47.89,25.72,false,false
1773219110000,56.51,36.01,false,false
1773219114000,70.87,44.72,false,false
1773219119000,0.00,0.00,true,false
1773219125000,0.00,0.00,true,false
1773219129000,62.04,25.71,false,false
1773219131000,62.04,25.71,true,false
1773219135000,0.00,42.99,true,false
1773219143000,0.00,44.49,false,false
1773219148000,40.76,40.86,false,false
1773219152000,26.70,35.42,false,false
1773219157000,26.70,22.08,false,false
1773219159000,0.00,22.08,true,false
1773219163000,0.00,22.08,true,false
1773219165000,0.00,22.08,true,false
1773219168000,0.00,22.08,true,false
1773219172000,0.00,22.08,true,false
1773219177000,0.00,13.39,false,false
1773219182000,7.45,12.84,false,false
1773219184000,7.45,12.84,true,false
1773219188000,17.00,12.33,false,false
1773219193000,28.87,13.51,false,false
1773219197000,43.23,16.86,false,false
1773219202000,37.77,25.27,false,false
1773219204000,37.77,25.27,true,false
1773219208000,27.90,28.28,false,false
1773219213000,34.59,30.05,false,false
1773219217000,36.62,34.74,false,false
1773219219000,36.62,34.74,true,false
1773219224000,40.26,35.64,false,false
1773219228000,47.14,37.98,false,false
1773219232000,55.76,43.07,false,false
1773219234000,55.76,43.07,true,false
1773219237000,61.08,47.74,false,false
1773219239000,61.08,47.74,true,false
1773219243000,49.88,48.81,false,false
1773219248000,29.43,39.58,false,false
1773219252000,29.43,39.58,true,false
1773219254000,34.48,41.17,false,false
1773219258000,32.57,37.25,false,false
1773219261000,32.57,37.25,true,false
1773219264000,0.00,37.25,true,false
1773219266000,0.00,37.25,true,false
1773219270000,0.00,37.25,true,false
1773219275000,0.00,23.16,false,false
1773219281000,5.26,19.51,false,false
1773219285000,13.40,17.75,false,false
1773219288000,20.42,16.83,false,false
1773219290000,20.42,16.83,true,false
1773219294000,31.88,17.02,false,false
1773219298000,33.43,23.03,false,false
1773219303000,11.89,18.09,false,false
1773219307000,10.56,14.98,false,false
1773219310000,10.56,14.98,true,false
1773219313000,8.82,13.97,false,false
1773219316000,8.82,13.97,true,false
1773219319000,0.00,13.48,false,false
1773219322000,7.92,12.03,false,false
1773219326000,7.92,12.03,true,false
1773219328000,0.00,12.03,true,false
1773219330000,9.05,10.44,false,false
1773219335000,8.28,9.28,false,false
1773219339000,8.58,9.00,false,false
1773219341000,8.58,9.00,true,false
1773219343000,0.00,9.00,true,false
1773219347000,9.09,8.90,false,false
1773219354000,10.12,8.89,false,false
1773219357000,11.21,9.75,false,false
1773219359000,11.21,9.75,true,false
1773219363000,13.57,10.50,false,false
1773219365000,13.57,10.50,true,false
1773219370000,18.09,11.81,false,false
1773219372000,18.09,11.81,true,false
1773219375000,18.67,13.39,false,false
1773219378000,18.67,13.39,true,false
1773219381000,0.00,13.78,false,false
1773219383000,0.00,13.78,true,false
1773219387000,0.00,10.01,false,false
1773219390000,5.54,9.09,false,false
1773219394000,5.54,9.09,true,false
1773219396000,0.00,8.26,false,false
1773219398000,0.00,8.26,true,false
1773219402000,0.00,8.26,true,false
1773219409000,0.00,8.26,true,false
1773219413000,0.00,6.32,false,false
1773219415000,0.00,6.32,true,false
1773219418000,3.99,5.53,false,false
1773219422000,5.27,5.25,false,false
1773219424000,5.27,5.25,true,false
1773219429000,10.15,5.18,false,false
1773219431000,10.15,5.18,true,false
1773219434000,11.10,5.50,false,false
1773219438000,11.10,4.89,false,false
1773219440000,0.00,4.89,true,false
1773219443000,0.00,3.90,false,false
1773219445000,0.00,3.90,true,false
1773219451000,0.00,1.17,false,true
1773219453000,0.00,0.00,false,true
1773219455000,0.00,0.00,true,true
1773219460000,0.00,0.00,false,true
1773219465000,0.00,0.00,false,true
1773219469000,0.00,0.00,false,true
1773219471000,0.00,0.00,false,true
1773219474000,0.00,0.00,true,true
1773219483000,13.37,4.04,false,false
1773219486000,13.37,4.04,true,false
1773219490000,0.00,11.62,true,false
1773219493000,58.46,19.81,false,false
1773219495000,58.46,19.81,true,false
1773219499000,50.20,26.91,false,false
1773219501000,50.20,26.91,true,false
1773219503000,50.88,32.22,false,false
1773219507000,30.79,30.90,false,false
1773219510000,30.79,30.90,true,false
1773219515000,8.72,20.82,false,false
1773219517000,8.72,20.82,true,false
1773219520000,12.67,18.29,false,false
1773219522000,12.67,18.29,true,false
1773227495000,0.00,0.00,true,false
1773227502000,0.00,0.00,true,false
1773227504000,0.00,0.00,true,false
1773227508000,0.00,0.00,true,false
1773227510000,0.00,0.00,true,false
1773227514000,0.00,0.00,true,false
1773227516000,0.00,0.00,true,false
1773227518000,0.00,0.00,true,false
1773227520000,0.00,0.00,true,false
1773227526000,0.00,0.00,true,false
1773227528000,0.00,0.00,true,false
1773227531000,0.00,0.00,true,false
1773227537000,0.00,0.00,true,false
1773227541000,0.00,0.00,true,false
1773227543000,0.00,0.00,true,false
1773227545000,0.00,0.00,true,false
1773227547000,0.00,0.00,true,false
1773227552000,0.00,0.00,true,false
1773227556000,0.00,0.00,true,false
1773227558000,0.00,0.00,true,false
1773227562000,0.00,0.00,true,false
1773227564000,0.00,0.00,true,false
1773227568000,0.00,0.00,true,false
1773227571000,0.00,0.00,true,false
1773227575000,0.00,0.00,true,false
1773227577000,0.00,0.00,true,false
1773227581000,0.00,0.00,true,false
1773227583000,0.00,0.00,true,false
1773227585000,0.00,0.00,true,false
1773227592000,0.00,0.00,true,false
1773227594000,0.00,0.00,true,false
1773227596000,0.00,0.00,true,false
1773227598000,0.00,0.00,true,false
1773227602000,0.00,0.00,true,false
1773227604000,0.00,0.00,true,false
1773227607000,0.00,0.00,true,false
1773227612000,0.00,0.00,true,false
1773227615000,0.00,0.00,true,false
1773227619000,0.00,0.00,true,false
1773227621000,0.00,0.00,true,false
