ts,old_speed,new_speed,new_is_stale,new_is_stat
1773218922000,0.00,0.00,false,false
1773218928000,0.00,0.00,true,false
1773218930000,0.00,0.00,true,false
1773218934000,0.00,0.00,true,false
1773218936000,0.00,0.00,true,false
1773218939000,0.00,0.00,true,false
1773218941000,0.00,0.00,true,false
1773218943000,0.00,0.00,true,false
1773218947000,0.00,0.00,true,false
1773218949000,0.00,0.00,true,false
1773218951000,0.00,0.00,true,false
1773218954000,0.00,0.00,true,false
1773218956000,0.00,0.00,true,false
1773218959000,0.00,0.00,true,false
1773218961000,0.00,0.00,true,false
1773218965000,0.00,0.00,true,false
1773218969000,0.00,0.00,true,false
1773218973000,0.00,0.00,true,false
1773218975000,0.00,0.00,true,false
1773218978000,0.00,0.00,true,false
1773218982000,0.00,0.00,true,false
1773218985000,0.00,0.00,true,false
1773218990000,0.00,0.00,true,false
1773218994000,0.00,0.00,true,false
1773218999000,0.00,0.00,true,false
1773219001000,0.00,0.00,true,false
1773219003000,0.00,0.00,true,false
1773219013000,0.00,0.00,true,false
1773219020000,0.00,0.00,true,false
1773219022000,0.00,0.00,true,false
1773219026000,0.00,0.00,true,false
1773219028000,0.00,0.00,true,false
1773219032000,0.00,0.00,true,false
1773219036000,0.00,0.00,true,false
1773219038000,0.00,0.00,true,false
1773219041000,0.00,0.00,true,false
1773219044000,0.00,0.00,true,false
1773219049000,0.00,0.00,true,false
1773219051000,0.00,0.00,true,false
1773219054000,0.00,0.00,true,false
1773219056000,0.00,0.00,true,false
1773219059000,0.00,0.00,true,false
1773219062000,0.00,0.00,true,false
1773219067000,0.00,0.00,true,false
1773219070000,0.00,0.00,true,false
1773219076000,0.00,0.00,true,false
1773219079000,0.00,0.00,true,false
1773219081000,0.00,0.00,true,false
1773219084000,0.00,0.00,true,false
1773219087000,0.00,0.00,true,false
1773219091000,0.00,0.00,true,false
1773219095000,0.00,0.00,true,false
1773219097000,0.00,0.00,true,false
1773219100000,0.00,0.00,true,false
1773219104000,0.00,0.00,true,false
1773219110000,0.00,0.00,true,false
1773219114000,0.00,0.00,true,false
1773219116000,0.00,0.00,true,false
1773219119000,0.00,0.00,true,false
1773219123000,0.00,0.00,true,false
1773219125000,0.00,0.00,true,false
1773219129000,0.00,0.00,true,false
1773219131000,0.00,0.00,true,false
1773219133000,0.00,0.00,false,false
1773219135000,0.00,0.05,false,false
1773219137000,0.00,0.05,true,false
1773219143000,6.02,0.18,false,false
