ts,old_speed,new_speed,new_is_stale,new_is_stat
1773218922000,0.00,0.00,false,false
1773218928000,0.00,0.00,false,false
1773218930000,0.00,0.00,true,false
1773218934000,3.92,0.00,true,false
1773218936000,3.92,0.00,true,false
1773218939000,0.00,0.00,true,false
1773218941000,0.00,0.00,true,false
1773218943000,0.00,0.00,true,false
1773218947000,0.00,0.00,true,false
1773218951000,0.00,19.49,true,false
1773218954000,0.00,19.49,true,false
1773218956000,0.00,19.49,true,false
1773218959000,0.00,19.49,true,false
1773218961000,0.00,19.49,true,false
1773218965000,0.00,19.49,true,false
1773218969000,0.00,19.49,true,false
1773218973000,0.00,19.49,true,false
1773218975000,0.00,19.49,true,false
1773218982000,0.00,23.17,true,false
1773218985000,0.00,23.17,true,false
1773218990000,0.00,23.17,true,false
1773218994000,0.00,23.17,true,false
1773218999000,0.00,23.17,true,false
1773219001000,0.00,23.17,true,false
1773219003000,0.00,23.17,true,false
1773219013000,0.00,23.17,true,false
1773219020000,0.00,23.17,true,false
1773219022000,0.00,23.17,true,false
1773219026000,0.00,23.17,true,false
1773219028000,0.00,23.17,true,false
1773219032000,0.00,23.17,true,false
1773219036000,0.00,23.17,true,false
1773219038000,0.00,23.17,true,false
1773219041000,0.00,23.17,true,false
1773219044000,0.00,23.17,true,false
1773219051000,0.00,20.79,true,false
1773219054000,0.00,20.79,true,false
1773219056000,0.00,20.79,true,false
1773219059000,0.00,20.79,true,false
1773219062000,0.00,20.79,true,false
1773219067000,0.00,20.79,true,false
1773219070000,0.00,20.79,true,false
1773219076000,0.00,20.79,true,false
1773219079000,0.00,20.79,true,false
1773219084000,0.00,20.13,true,false
1773219087000,0.00,20.13,true,false
1773219091000,0.00,20.13,true,false
1773219095000,0.00,20.13,true,false
1773219097000,0.00,20.13,true,false
1773219100000,0.00,20.13,true,false
1773219104000,0.00,20.13,true,false
1773219114000,0.00,19.50,true,false
1773219116000,0.00,19.50,true,false
1773219119000,0.00,19.50,true,false
1773219123000,0.00,19.50,true,false
1773219125000,0.00,19.50,true,false
1773219129000,0.00,19.50,true,false
1773219131000,0.00,19.50,true,false
1773219133000,0.00,19.50,true,false
1773219135000,0.00,19.50,true,false
1773219137000,0.00,19.50,true,false
1773219143000,0.00,19.50,true,false
1773219148000,0.00,19.50,true,false
1773219152000,0.00,19.50,true,false
1773219157000,0.00,19.50,true,false
1773219159000,0.00,19.50,true,false
1773219165000,0.00,17.88,true,false
1773219168000,0.00,17.88,true,false
1773219172000,0.00,17.88,true,false
1773219177000,0.00,17.88,true,false
1773219182000,0.00,17.88,true,false
1773219184000,0.00,17.88,true,false
1773219188000,0.00,17.88,true,false
1773219193000,0.00,17.88,true,false
1773219197000,0.00,17.88,true,false
1773219202000,0.00,17.88,true,false
1773219204000,0.00,17.88,true,false
1773219213000,0.00,16.37,true,false
1773219217000,0.00,16.37,true,false
1773219219000,0.00,16.37,true,false
1773219224000,0.00,16.37,true,false
1773219232000,0.00,16.76,true,false
1773219234000,0.00,16.76,true,false
1773219237000,0.00,16.76,true,false
1773219239000,0.00,16.76,true,false
1773219243000,0.00,16.76,true,false
1773219248000,0.00,16.76,true,false
1773219254000,0.00,17.54,true,false
1773219258000,0.00,17.54,true,false
1773219261000,0.00,17.54,true,false
1773219264000,0.00,17.54,true,false
1773219266000,0.00,17.54,true,false
1773219275000,0.00,19.21,true,false
1773219281000,0.00,19.21,true,false
1773219285000,0.00,19.21,true,false
1773219288000,0.00,19.21,true,false
1773219290000,0.00,19.21,true,false
1773219298000,0.00,20.74,true,false
1773219303000,50.42,24.25,false,false
1773219307000,50.42,24.25,true,false
1773219310000,1.46,24.25,true,false
1773219313000,1.46,24.25,true,false
1773219316000,0.00,24.25,true,false
1773219319000,0.00,24.25,true,false
1773219322000,0.00,24.25,true,false
1773219326000,0.00,24.25,true,false
1773219328000,0.00,24.25,true,false
1773219330000,0.00,24.25,true,false
1773219335000,0.00,24.25,true,false
1773219339000,0.00,24.25,true,false
1773219341000,0.00,24.25,true,false
1773219343000,0.00,24.25,true,false
1773219347000,0.00,24.25,true,false
1773219354000,0.00,24.25,true,false
1773219357000,0.00,24.25,true,false
1773219363000,0.00,23.25,true,false
1773219365000,0.00,23.25,true,false
1773219370000,0.00,23.25,true,false
1773219372000,0.00,23.25,true,false
1773219375000,0.00,23.25,true,false
1773219378000,0.00,23.25,true,false
1773219381000,0.00,23.25,true,false
1773219383000,0.00,23.25,true,false
1773219387000,0.00,23.25,true,false
1773219390000,0.00,23.25,true,false
1773219394000,0.00,23.25,true,false
1773219396000,0.00,23.25,true,false
1773219402000,0.00,0.00,true,false
1773219409000,0.00,0.00,true,false
1773219413000,0.00,0.00,true,false
1773219415000,0.00,0.00,true,false
1773219418000,0.00,0.00,true,false
1773219422000,0.00,0.00,true,false
1773219424000,0.00,0.00,true,false
1773219429000,0.00,0.00,true,false
1773219431000,0.00,0.00,true,false
1773219434000,0.00,0.00,true,false
1773219438000,0.00,0.00,true,false
1773219440000,0.00,0.00,true,false
1773219443000,0.00,0.00,true,false
1773219445000,0.00,0.00,true,false
1773219453000,0.00,0.00,true,false
1773219455000,0.00,0.00,true,false
1773219460000,0.00,0.00,true,false
1773219465000,0.00,0.00,true,false
1773219469000,0.00,0.00,true,false
1773219471000,0.00,0.00,true,false
1773219474000,0.00,0.00,true,false
1773219483000,0.00,0.00,true,false
1773219486000,0.00,0.00,true,false
1773219488000,0.00,0.00,true,false
1773219490000,0.00,0.00,true,false
1773219493000,0.00,0.00,true,false
1773219495000,0.00,0.00,true,false
1773219499000,0.00,0.00,true,false
1773219501000,0.00,0.00,true,false
1773219503000,0.00,0.00,true,false
1773219507000,0.00,0.00,true,false
1773219510000,0.00,0.00,true,false
1773219515000,0.00,0.00,true,false
1773219517000,0.00,0.00,true,false
1773219520000,0.00,0.00,true,false
1773232398000,0.00,0.00,true,false
1773232400000,0.00,0.00,true,false
1773232402000,0.00,0.00,true,false
1773232406000,0.00,0.00,true,false
1773232408000,0.00,0.00,true,false
1773232410000,0.00,0.00,true,false
1773232413000,0.00,0.00,true,false
1773232417000,0.00,0.00,true,false
1773232419000,0.00,0.00,true,false
1773232423000,0.00,0.00,true,false
1773232425000,0.00,0.00,true,false
1773232427000,0.00,0.00,true,false
1773232431000,0.00,0.00,true,false
1773232433000,0.00,0.00,true,false
1773232435000,0.00,0.00,true,false
1773232440000,0.00,0.00,true,false
1773232442000,0.00,0.00,true,false
1773232446000,0.00,0.00,true,false
1773232450000,0.00,0.00,true,false
1773232452000,0.00,0.00,true,false
1773232454000,0.00,0.00,true,false
1773232459000,0.00,0.00,true,false
1773232461000,0.00,0.00,true,false
1773232465000,0.00,0.00,true,false
1773232467000,0.00,0.00,true,false
1773232471000,0.00,0.00,true,false
1773232473000,0.00,0.00,true,false
1773232478000,0.00,0.00,true,false
1773232480000,0.00,0.00,true,false
1773232484000,0.00,0.00,true,false
1773232486000,0.00,0.00,true,false
1773232492000,0.00,0.00,true,false
1773232494000,0.00,0.00,true,false
1773232497000,0.00,0.00,true,false
1773232501000,0.00,0.00,true,false
1773232503000,0.00,0.00,true,false
1773232505000,0.00,0.00,true,false
1773232509000,0.00,0.00,true,false
1773232511000,0.00,0.00,true,false
1773232517000,0.00,0.00,true,false
1773232519000,0.00,0.00,true,false
1773232524000,10.08,3.75,false,false
1773232526000,10.08,3.75,true,false
1773232529000,0.00,3.75,true,false
1773232531000,0.00,3.75,true,false
1773232533000,0.00,3.75,true,false
1773232537000,0.00,3.75,true,false
1773232539000,0.00,3.75,true,false
1773232543000,0.00,3.75,true,false
1773232545000,0.00,3.75,true,false
