ts,old_speed,new_speed,new_is_stale,new_is_stat
1773218922000,0.00,0.00,false,false
1773218928000,0.00,0.00,false,false
1773218930000,0.00,0.00,true,false
1773218934000,0.00,0.00,true,false
1773218936000,0.00,0.00,true,false
1773218939000,0.00,0.00,true,false
1773218941000,0.00,0.00,true,false
1773218943000,0.00,0.00,true,false
1773218947000,0.00,0.00,true,false
1773218949000,0.00,0.00,true,false
1773218951000,0.00,0.00,true,false
1773218954000,0.00,0.00,true,false
1773218956000,0.00,0.00,true,false
1773218959000,0.00,0.00,true,false
1773218961000,0.00,0.00,true,false
1773218965000,0.00,0.00,true,false
1773218969000,0.00,0.00,true,false
1773218973000,0.00,0.00,true,false
1773218975000,0.00,0.00,true,false
1773218978000,0.00,0.00,true,false
1773218982000,0.00,0.00,true,false
1773218985000,0.00,0.00,true,false
1773218990000,0.00,0.00,true,false
1773218994000,0.00,0.00,true,false
1773218999000,0.00,0.00,true,false
1773219001000,0.00,0.00,true,false
1773219003000,0.00,0.00,true,false
1773219013000,0.00,0.00,true,false
1773219020000,0.00,0.00,true,false
1773219022000,0.00,0.00,true,false
1773219026000,0.00,0.00,true,false
1773219028000,0.00,0.00,true,false
1773219032000,0.00,0.00,true,false
1773219036000,0.00,0.00,true,false
1773219038000,0.00,0.00,true,false
1773219041000,0.00,0.00,true,false
1773219044000,0.00,0.00,true,false
1773219049000,0.00,0.00,true,false
1773219051000,0.00,0.00,true,false
1773219054000,0.00,0.00,true,false
1773219056000,0.00,0.00,true,false
1773219059000,0.00,0.00,true,false
1773219062000,0.00,0.00,true,false
1773219067000,0.00,0.00,true,false
1773219070000,0.00,0.00,true,false
1773219076000,0.00,0.00,true,false
1773219079000,0.00,0.00,true,false
1773219081000,0.00,0.00,true,false
1773219084000,0.00,0.00,true,false
1773219087000,0.00,0.00,true,false
1773219091000,0.00,0.00,true,false
1773219095000,0.00,0.00,true,false
1773219097000,0.00,0.00,true,false
1773219100000,0.00,0.00,true,false
1773219104000,0.00,0.00,true,false
1773219110000,0.00,0.00,true,false
1773219114000,0.00,0.00,true,false
1773219116000,0.00,0.00,true,false
1773219119000,0.00,0.00,true,false
1773219123000,0.00,0.00,true,false
1773219125000,0.00,0.00,true,false
1773219129000,0.00,0.00,true,false
1773219131000,0.00,0.00,true,false
1773219133000,0.00,0.00,true,false
1773219135000,0.00,0.00,true,false
1773219137000,0.00,0.00,true,false
1773219143000,0.00,0.00,true,false
1773219148000,0.00,0.00,true,false
1773219152000,0.00,0.00,true,false
1773219157000,0.00,0.00,true,false
1773219159000,0.00,0.00,true,false
1773219163000,0.00,0.00,true,false
1773219165000,0.00,0.00,true,false
1773219168000,0.00,0.00,true,false
1773219172000,0.00,0.00,true,false
1773219177000,0.00,0.00,true,false
1773219182000,0.00,0.00,true,false
1773219184000,0.00,0.00,true,false
1773219188000,0.00,0.00,true,false
1773219193000,0.00,0.03,false,false
1773219197000,0.00,0.03,true,false
1773219202000,6.05,0.20,false,false
1773219204000,6.05,0.20,true,false
1773219208000,0.00,0.31,false,false
1773219213000,8.40,0.45,false,false
1773219217000,9.27,0.54,false,false
1773219219000,9.27,0.54,true,false
1773219224000,0.00,0.54,true,false
1773219228000,0.00,2.14,false,false
1773219232000,8.17,4.56,false,false
1773219234000,14.05,8.07,false,false
1773219237000,14.05,8.07,true,false
1773219239000,26.62,11.43,false,false
1773219243000,26.62,11.43,true,false
1773219248000,21.30,13.56,false,false
1773219252000,23.73,18.92,false,false
1773219254000,31.32,23.06,false,false
1773219258000,31.32,23.06,true,false
1773219261000,13.45,22.76,false,false
1773219264000,13.45,22.76,true,false
1773219266000,21.96,22.05,false,false
1773219270000,22.82,24.11,false,false
1773219275000,22.26,22.50,false,false
1773219281000,22.26,22.50,true,false
1773219285000,0.00,22.50,true,false
1773219288000,0.00,16.43,false,false
1773219290000,0.00,16.43,true,false
1773219294000,8.64,16.53,false,false
1773219298000,20.60,17.44,false,false
1773219303000,28.72,18.02,false,false
1773219307000,35.30,19.28,false,false
1773219310000,35.30,19.28,true,false
1773219313000,34.24,24.81,false,false
1773219316000,31.33,28.50,false,false
1773219319000,31.33,28.50,true,false
1773219322000,19.33,28.00,false,false
1773219326000,28.75,27.60,false,false
1773219328000,28.75,27.60,true,false
1773219330000,0.00,27.60,true,false
1773219335000,25.70,25.69,false,false
1773219339000,25.70,25.69,true,false
1773219341000,0.00,25.69,true,false
1773219343000,18.73,23.13,false,false
1773219347000,26.86,22.19,false,false
1773219354000,13.92,18.97,false,false
1773219357000,13.70,16.65,false,false
1773219359000,13.70,16.65,true,false
1773219363000,0.00,16.65,true,false
1773219365000,0.00,14.10,false,false
1773219370000,8.12,14.14,false,false
1773219372000,8.12,14.14,true,false
1773219375000,18.10,11.77,false,false
1773219378000,18.10,11.77,true,false
1773219381000,26.97,13.65,false,false
1773219383000,26.97,13.65,true,false
1773219387000,25.85,14.84,false,false
1773219390000,24.64,18.03,false,false
1773219394000,24.64,18.03,true,false
1773219396000,0.00,18.79,false,false
1773219398000,0.00,18.79,true,false
1773219402000,0.00,18.79,true,false
1773219409000,7.79,16.52,false,false
1773219413000,7.79,16.52,true,false
1773219415000,13.18,16.25,false,false
1773219418000,16.46,16.06,false,false
1773219422000,22.07,15.53,false,false
1773219424000,22.07,15.53,true,false
1773219429000,32.28,16.78,false,false
1773219431000,32.28,16.78,true,false
1773219434000,32.13,21.92,false,false
1773219438000,30.95,24.93,false,false
1773219440000,30.95,24.93,true,false
1773219443000,0.00,24.93,true,false
1773219445000,37.41,26.08,false,false
1773219451000,28.44,25.69,false,false
1773219453000,28.44,25.69,true,false
1773219455000,32.92,25.77,false,false
1773219460000,30.00,25.70,false,false
1773219465000,17.57,22.42,false,false
1773219469000,17.57,22.42,true,false
1773219471000,23.28,22.76,false,false
1773219474000,15.22,22.76,true,false
1773219483000,24.64,22.28,false,false
1773219486000,24.64,22.28,true,false
1773219488000,33.27,22.42,false,false
1773219490000,33.27,22.42,true,false
1773219493000,36.97,24.94,false,false
1773219495000,36.97,24.94,true,false
1773219499000,34.48,26.91,false,false
1773219501000,34.48,26.91,true,false
1773219503000,0.00,26.91,true,false
1773219507000,24.97,27.83,false,false
1773219510000,34.64,29.98,false,false
1773219515000,35.07,31.55,false,false
1773219517000,35.07,31.55,true,false
1773219520000,0.00,31.55,true,false
1773219522000,39.85,31.63,false,false
1773227495000,0.00,0.00,false,false
1773227502000,20.39,8.16,false,false
1773227504000,20.39,8.16,true,false
1773227508000,23.35,14.23,false,false
1773227510000,23.35,14.23,true,false
1773227514000,21.38,17.57,false,false
1773227516000,21.38,17.57,true,false
1773227518000,32.13,21.19,false,false
1773227520000,26.80,21.19,true,false
1773227526000,23.28,22.65,false,false
1773227528000,36.33,25.12,false,false
1773227531000,38.10,26.97,false,false
1773227537000,15.11,22.29,false,false
1773227541000,15.11,22.29,true,false
1773227543000,30.47,23.46,false,false
1773227545000,22.18,23.46,true,false
1773227547000,27.92,26.42,false,false
1773227552000,32.40,26.77,false,false
1773227556000,32.40,26.77,true,false
1773227558000,32.56,27.25,false,false
1773227562000,40.68,30.11,false,false
1773227564000,40.68,30.11,true,false
1773227568000,37.64,32.57,false,false
1773227571000,37.64,32.57,true,false
1773227575000,40.26,34.07,false,false
1773227577000,40.26,34.07,true,false
1773227581000,15.66,30.60,false,false
1773227583000,15.66,30.60,true,false
1773227585000,0.00,22.78,false,false
1773227592000,0.00,22.78,true,false
1773227594000,0.00,15.64,false,false
1773227596000,0.00,15.64,true,false
1773227598000,6.77,15.19,false,false
1773227602000,6.77,15.19,true,false
1773227604000,24.66,14.12,false,false
