ts,old_speed,new_speed,new_is_stale,new_is_stat
1773218922000,0.00,0.00,false,false
1773218928000,0.00,0.00,false,false
1773218930000,0.00,0.00,true,false
1773218934000,26.20,10.48,false,false
1773218936000,26.20,10.48,true,false
1773218939000,25.07,16.32,false,false
1773218943000,0.00,0.00,true,false
1773218947000,0.00,0.00,true,false
1773218949000,26.37,0.00,false,false
1773218951000,21.10,0.00,true,false
1773218954000,21.62,8.65,false,false
1773218956000,21.62,8.65,true,false
1773218959000,0.00,8.65,true,false
1773218961000,0.00,8.65,true,false
1773218965000,0.00,8.65,true,false
1773218969000,0.00,6.80,false,false
1773218973000,5.58,8.74,false,false
1773218975000,5.58,8.74,true,false
1773218978000,11.35,10.32,false,false
1773218982000,19.82,11.11,false,false
1773218985000,19.82,11.11,true,false
1773218990000,22.95,12.06,false,false
1773218994000,26.40,16.64,false,false
1773218999000,27.59,20.41,false,false
1773219001000,27.59,20.41,true,false
1773219003000,21.11,22.45,false,false
1773219013000,21.11,20.01,false,false
1773219020000,12.08,17.69,false,false
1773219022000,10.62,16.58,false,false
1773219026000,10.62,16.58,true,false
1773219028000,11.76,14.74,false,false
1773219032000,22.38,14.87,false,false
1773219036000,22.38,14.87,true,false
1773219038000,24.70,17.98,false,false
1773219041000,24.70,17.98,true,false
1773219044000,23.21,20.83,false,false
1773219049000,22.94,21.97,false,false
1773219051000,22.94,21.97,true,false
1773219054000,16.03,21.49,false,false
1773219056000,16.03,21.49,true,false
1773219059000,0.00,21.49,true,false
1773219062000,0.00,21.49,true,false
1773219067000,0.00,21.49,true,false
1773219070000,0.00,21.49,true,false
1773219076000,0.00,13.74,false,false
1773219079000,5.86,12.32,false,false
1773219081000,5.86,12.32,true,false
1773219084000,16.67,12.28,false,false
1773219087000,26.86,12.77,false,false
1773219091000,28.42,13.49,false,false
1773219095000,28.42,13.49,true,false
1773219097000,18.62,18.89,false,false
1773219100000,18.62,18.89,true,false
1773219104000,0.00,18.89,true,false
1773219110000,0.00,14.79,false,false
1773219114000,10.24,13.59,false,false
1773219116000,10.24,13.59,true,false
1773219119000,14.64,13.31,false,false
1773219123000,14.64,13.31,true,false
1773219125000,25.75,13.76,false,false
1773219129000,25.75,13.76,true,false
1773219131000,24.05,13.66,false,false
1773219133000,24.05,13.66,true,false
1773219135000,15.46,14.23,false,false
1773219137000,11.09,14.23,true,false
1773219143000,18.60,11.04,false,false
1773219148000,30.12,12.16,false,false
1773219152000,41.04,18.45,false,false
1773219157000,47.09,28.45,false,false
1773219159000,47.09,28.45,true,false
1773219163000,26.29,32.43,false,false
1773219165000,26.29,32.43,true,false
1773219168000,35.63,36.28,false,false
1773219172000,22.14,31.43,false,false
1773219177000,22.14,31.43,true,false
1773219182000,0.00,20.27,false,false
1773219184000,0.00,20.27,true,false
1773219188000,8.45,17.75,false,false
1773219193000,16.24,18.41,false,false
1773219197000,16.24,18.41,true,false
1773219202000,25.21,17.71,false,false
1773219204000,32.76,18.92,false,false
1773219208000,32.76,18.92,true,false
1773219213000,30.30,23.31,false,false
1773219217000,38.20,27.63,false,false
1773219219000,41.81,30.23,false,false
1773219224000,41.81,30.23,true,false
1773219228000,38.25,32.21,false,false
1773219232000,17.47,25.37,false,false
1773219234000,17.47,25.37,true,false
1773219237000,0.00,16.57,false,false
1773219239000,0.00,16.57,true,false
1773219243000,9.15,17.33,false,false
1773219248000,9.15,17.33,true,false
1773219252000,12.08,16.00,false,false
1773219254000,19.24,15.29,false,false
1773219258000,19.24,15.29,true,false
1773219261000,22.91,16.18,false,false
1773219264000,36.32,19.42,false,false
1773219266000,36.32,19.42,true,false
1773219270000,34.77,22.09,false,false
1773219275000,25.42,23.15,false,false
1773219281000,7.49,16.64,false,false
1773219285000,7.49,10.35,false,false
1773219288000,0.00,10.35,true,false
1773219290000,0.00,10.35,true,false
1773219294000,0.00,7.33,false,false
1773219298000,7.68,9.07,false,false
1773219303000,15.91,10.50,false,false
1773219307000,15.91,10.50,true,false
1773219310000,16.91,11.38,false,false
1773219313000,16.91,11.38,true,false
1773219316000,22.49,13.78,false,false
1773219319000,25.89,19.21,false,false
1773219322000,25.89,19.21,true,false
1773219326000,17.56,20.97,false,false
1773219328000,17.56,20.97,true,false
1773219330000,29.87,22.52,false,false
1773219335000,33.75,27.39,false,false
1773219339000,33.75,27.39,true,false
1773219341000,45.54,31.45,false,false
1773219343000,50.27,33.01,false,false
1773219347000,21.13,26.64,false,false
1773219354000,21.13,20.98,false,false
1773219357000,0.00,20.98,true,false
1773219359000,12.85,17.19,false,false
1773219363000,12.85,17.19,true,false
1773219365000,0.00,17.19,true,false
1773219370000,14.24,15.34,false,false
1773219372000,19.69,14.19,false,false
1773219375000,18.89,14.25,false,false
1773219378000,18.89,14.25,true,false
1773219381000,22.63,15.28,false,false
1773219383000,22.63,15.28,true,false
1773219387000,24.70,16.18,false,false
1773219390000,41.65,23.01,false,false
1773219394000,41.65,23.01,true,false
1773219396000,2.82,23.01,true,false
1773219402000,0.00,37.40,false,false
1773219409000,35.63,32.32,false,false
1773219413000,64.46,44.33,false,false
1773219415000,64.46,44.33,true,false
1773219418000,24.17,43.82,false,false
1773219422000,24.17,43.82,true,false
1773219424000,0.00,43.82,true,false
1773219429000,0.00,43.82,true,false
1773219431000,0.00,36.04,false,false
1773219434000,0.00,36.04,true,false
1773219438000,6.62,28.77,false,false
1773219440000,19.56,26.01,false,false
1773219443000,22.35,26.01,true,false
1773219445000,22.35,26.01,true,false
1773219451000,44.33,24.35,false,false
1773219453000,44.33,24.35,true,false
1773219455000,47.57,25.60,false,false
1773219460000,41.88,30.17,false,false
1773219465000,41.88,30.17,true,false
1773219469000,20.63,27.70,false,false
1773219471000,20.63,27.70,true,false
1773219474000,15.22,24.12,false,false
1773219483000,15.22,18.44,false,false
1773219486000,0.00,18.44,true,false
1773219488000,0.00,18.44,true,false
1773219490000,0.00,18.44,true,false
1773219493000,0.00,18.44,true,false
1773219495000,0.00,12.23,false,false
1773219499000,0.00,12.23,true,false
1773219501000,9.25,10.27,false,false
1773219503000,9.25,10.27,true,false
1773219507000,20.61,9.90,false,false
1773219510000,31.34,11.49,false,false
1773219515000,37.66,15.23,false,false
1773219517000,37.66,15.23,true,false
1773219520000,43.75,22.69,false,false
1773219522000,43.75,22.69,true,false
1773227495000,0.00,0.00,true,false
1773227502000,0.00,0.00,true,false
1773227504000,0.00,0.00,true,false
1773227508000,0.00,0.00,true,false
1773227510000,0.00,0.00,true,false
1773227514000,0.00,0.00,true,false
1773227516000,0.00,0.00,true,false
1773227518000,0.00,0.00,true,false
1773227520000,0.00,0.00,true,false
1773227526000,0.00,0.00,true,false
1773227528000,0.00,0.00,true,false
1773227531000,0.00,0.00,true,false
1773227537000,0.00,0.00,true,false
1773227541000,0.00,0.00,true,false
1773227543000,0.00,0.00,true,false
1773227545000,0.00,0.00,true,false
1773227547000,0.00,0.00,true,false
1773227552000,0.00,0.00,true,false
1773227556000,0.00,0.00,true,false
1773227558000,0.00,0.00,true,false
1773227562000,0.00,0.00,true,false
1773227564000,0.00,0.00,true,false
1773227568000,0.00,0.00,true,false
1773227571000,0.00,0.00,true,false
1773227575000,0.00,0.00,true,false
1773227577000,0.00,0.00,true,false
1773227581000,0.00,0.00,true,false
1773227583000,0.00,0.00,true,false
1773227585000,0.00,0.00,true,false
1773227592000,0.00,0.00,true,false
1773227594000,0.00,0.00,true,false
1773227596000,0.00,0.00,true,false
1773227598000,0.00,0.00,true,false
1773227602000,0.00,0.00,true,false
1773227604000,0.00,0.00,true,false
1773227607000,0.00,0.00,true,false
1773227612000,0.00,0.00,true,false
