ts,lat,lng,raw_speed,smooth_speed
1773218922000,64.0855916833333,-21.9390936666667,0.00,28.99
1773218928000,64.0863187333333,-21.9378236666667,61.02,35.65
1773218934000,64.0869549166667,-21.93682,51.55,52.21
1773218939000,64.0874916666667,-21.9359676666667,52.31,53.88
1773218943000,64.0880323166667,-21.9350923333333,66.28,45.95
1773218949000,64.08834555,-21.9345325,26.52,33.73
1773218951000,64.0883977666667,-21.9344308333333,13.72,12.95
1773218956000,64.0884022,-21.9344151666667,0.65,4.95
1773218961000,64.08841415,-21.9343915,1.27,0.79
1773218982000,64.0884383333333,-21.9343478333333,0.59,12.24
1773218985000,64.0886408666667,-21.9339193333333,36.80,24.95
1773218990000,64.0890004666667,-21.9330691666667,41.39,44.89
1773218994000,64.0894199833333,-21.9319775,63.57,44.41
1773219001000,64.0898067,-21.930878,35.27,40.02
1773219013000,64.0903334833333,-21.9294241666667,27.53,19.92
1773219032000,64.0903374166667,-21.9294173333333,0.10,10.51
1773219036000,64.0903730333333,-21.9293198333333,5.56,3.69
1773219041000,64.0904213,-21.9291895,5.98,4.90
1773219049000,64.0904681666667,-21.9290441666667,3.95,8.48
1773219051000,64.0905194833333,-21.9288915,16.85,8.69
1773219056000,64.0905704166667,-21.9287413333333,6.65,7.71
1773219067000,64.0905811666667,-21.9286938333333,0.85,2.71
1773219079000,64.0905992666667,-21.9286351666667,1.05,6.95
1773219084000,64.0907526833333,-21.928182,20.05,25.45
1773219087000,64.09105475,-21.9274365,59.28,34.15
1773219095000,64.0915111833333,-21.9266556666667,28.51,46.14
1773219100000,64.09213845,-21.9258313333333,57.91,54.43
1773219104000,64.09290705,-21.9249795,85.46,65.57
1773219110000,64.0937701666667,-21.924045,63.70,79.25
1773219114000,64.09468085,-21.923044,101.10,91.00
1773219116000,64.095234,-21.9224426666667,122.57,92.90
1773219123000,64.0963343,-21.9212418333333,69.71,81.57
1773219129000,64.0972063833333,-21.9202245,65.30,72.19
1773219133000,64.0979711666667,-21.9190181666667,92.95,78.13
1773219137000,64.09858125,-21.9175536666667,88.47,73.34
1773219143000,64.0990593,-21.9162235,50.20,57.59
1773219148000,64.0993987333333,-21.9152633333333,43.20,38.03
1773219152000,64.0995599666667,-21.914777,26.69,23.69
1773219157000,64.0995968333333,-21.9146646666667,4.91,10.53
1773219159000,64.0995888166667,-21.9146691666667,1.65,2.31
1773219177000,64.0996103666667,-21.9146116666667,0.74,9.35
1773219182000,64.09982005,-21.914002,27.14,19.85
1773219188000,64.1001462166667,-21.9130698333333,34.81,37.37
1773219193000,64.1005781166667,-21.9118071666667,56.08,51.36
1773219197000,64.1010018666667,-21.9104955,71.31,53.27
1773219202000,64.1012761333333,-21.9095108333333,40.84,43.19
1773219208000,64.1014608,-21.9087946666667,24.23,31.68
1773219213000,64.1016769666667,-21.907926,34.96,38.29
1773219217000,64.1020178833333,-21.9067491666667,61.73,43.47
1773219224000,64.1024971333333,-21.9055508333333,40.58,56.10
1773219228000,64.1030995,-21.904536,74.84,60.98
1773219232000,64.10379865,-21.9037918333333,77.16,66.82
1773219237000,64.1045185,-21.903428,59.02,56.13
1773219243000,64.10513365,-21.9033706666667,41.07,41.74
1773219248000,64.1055269166667,-21.9034821666667,31.73,34.41
1773219254000,64.1060549666667,-21.9037151666667,35.88,27.81
1773219258000,64.1062485333333,-21.9038478333333,20.22,18.09
1773219275000,64.1062877333333,-21.9038918333333,1.03,11.65
1773219281000,64.1064956666667,-21.9041323333333,15.54,19.94
1773219285000,64.1069226,-21.9045465,46.40,38.28
1773219288000,64.1073309333333,-21.9049321666667,58.94,42.97
1773219294000,64.10775125,-21.9053323333333,30.37,39.21
1773219298000,64.1080713666667,-21.9056268333333,34.52,25.13
1773219303000,64.10823935,-21.9057796666667,14.47,19.60
1773219307000,64.1083580833333,-21.9058951666667,12.91,10.96
1773219313000,64.1084606833333,-21.9059761666667,7.24,8.44
1773219319000,64.1085519,-21.9060533333333,6.49,8.85
1773219322000,64.1086522333333,-21.9061353333333,14.21,8.64
1773219330000,64.1087756666667,-21.9062386666667,6.58,9.38
1773219335000,64.1088781666667,-21.906333,8.84,9.38
1773219339000,64.1090109,-21.9064475,14.19,9.74
1773219347000,64.1091546166667,-21.9065741666667,7.71,10.74
1773219354000,64.1093509333333,-21.906744,12.00,13.30
1773219357000,64.1095077666667,-21.9068751666667,22.28,14.72
1773219363000,64.1096815,-21.907007,12.21,18.39
1773219370000,64.1100823833333,-21.9072261666667,23.57,16.19
1773219375000,64.1102721,-21.9072915,15.36,13.77
1773219381000,64.1103400333333,-21.9073038333333,4.55,7.56
1773219387000,64.1103993333333,-21.9073106666667,3.96,6.57
1773219390000,64.1104907166667,-21.907293,12.24,6.92
1773219396000,64.1105615833333,-21.9071863333333,5.66,6.13
1773219413000,64.1105981166667,-21.9070723333333,1.45,6.04
1773219418000,64.11071485,-21.9068586666667,11.96,10.34
1773219422000,64.1108406333333,-21.9071913333333,19.23,13.13
1773219429000,64.1110103166667,-21.9073276666667,10.28,13.51
1773219434000,64.1111608333333,-21.907176,13.17,7.93
1773219438000,64.111153,-21.907144,1.60,5.00
1773219443000,64.1111536,-21.9071146666667,1.03,1.07
1773219451000,64.1111560166667,-21.9070815,0.73,2.12
1773219453000,64.1111458833333,-21.9070301666667,4.92,2.18
1773219460000,64.1111353666667,-21.9069868333333,1.24,2.22
1773219465000,64.1111375333333,-21.9069626666667,0.86,1.17
1773219469000,64.1111516666667,-21.9069795,1.59,2.49
1773219471000,64.1111671,-21.9069288333333,5.40,10.46
1773219483000,64.1119374333333,-21.907221,26.05,34.79
1773219488000,64.1127806833333,-21.9060793333333,78.42,52.57
1773219493000,64.1132997833333,-21.904781,61.54,58.82
1773219499000,64.1136961833333,-21.9034976666667,45.79,49.15
1773219503000,64.1139718166667,-21.902602,47.88,36.97
1773219507000,64.1141002833333,-21.902163,23.09,25.07
1773219515000,64.11420215,-21.9018683333333,8.21,14.30
1773219520000,64.1143212666667,-21.9015805,13.86,7.78
1773227491000,64.1232244,-21.7899428333333,2.49,5.18
1773228295000,64.1232224,-21.7899335,0.00,0.79
1773228781000,64.1232205833333,-21.789924,0.00,0.00
1773229386000,64.12321635,-21.7899178333333,0.00,0.00
1773230729000,64.1232211833333,-21.7899163333333,0.00,0.00
1773231087000,64.1232262,-21.7899166666667,0.01,0.00
1773232296000,64.1232296833333,-21.7899238333333,0.00,0.00
1773232781000,64.1232349333333,-21.7899253333333,0.00,0.00
1773234720000,64.1232389333333,-21.7899183333333,0.00,0.00
1773235448000,64.12324305,-21.7899116666667,0.00,0.00
1773236298000,64.1232482833333,-21.7898715,0.01,0.00
1773237061000,64.1232464333333,-21.789862,0.00,0.01
1773237178000,64.1232471166667,-21.789874,0.02,0.08
1773237188000,64.12325025,-21.7898845,0.22,0.11
1773237206000,64.12325305,-21.7898933333333,0.11,0.13
1773237234000,64.1232543666667,-21.7899048333333,0.07,0.12
1773237245000,64.12325195,-21.7898926666667,0.21,0.14
1773237261000,64.1232471333333,-21.7898823333333,0.17,0.18
1773237272000,64.1232434666667,-21.7898733333333,0.20,0.14
1773237300000,64.1232397333333,-21.7898795,0.07,0.10
1773237333000,64.1232443166667,-21.789876,0.06,0.05
1773237707000,64.1232728333333,-21.7898135,0.04,0.87
1773237712000,64.1232941666667,-21.7897555,2.65,1.56
1773237717000,64.12330575,-21.7896971666667,2.24,2.89
1773237725000,64.1233614666667,-21.7895515,4.23,2.23
1773237732000,64.1233703833333,-21.7895413333333,0.57,2.63
1773237737000,64.12333905,-21.7894711666667,3.51,3.65
1773237742000,64.1233172166667,-21.7892636666667,7.46,7.30
1773237747000,64.1233192166667,-21.7889175,12.10,12.48
1773237751000,64.12332135,-21.788463,19.85,14.81
1773237756000,64.1233639666667,-21.7880505,14.81,13.84
1773237763000,64.1235005666667,-21.7878691666667,9.03,11.69
1773237768000,64.1236525833333,-21.788006,13.08,16.54
1773237771000,64.1236850166667,-21.788518,30.13,21.27
1773237776000,64.12365895,-21.7892015,23.97,21.48
1773237783000,64.1236526166667,-21.789752,13.74,15.80
1773237788000,64.12374635,-21.7900266666667,12.18,12.86
1773237792000,64.123843,-21.7902791666667,14.67,14.34
1773237798000,64.1238865,-21.7909043333333,18.43,29.56
1773237801000,64.1238703833333,-21.7919381666667,60.24,33.33
1773237808000,64.1238457833333,-21.7930011666667,26.57,38.65
1773237813000,64.1238061,-21.7940055,35.24,30.76
1773237818000,64.1237973333333,-21.7950168333333,35.34,32.57
1773237823000,64.1238119333333,-21.7959401666667,32.28,25.09
1773237833000,64.1240270666667,-21.7963855,11.61,34.81
1773237835000,64.1242624333333,-21.7969155,66.05,32.51
1773237843000,64.1247204166667,-21.797375,25.02,29.11
1773237848000,64.1247098166667,-21.7973735,0.85,8.41
1773237853000,64.1247029833333,-21.7973853333333,0.69,1.65
1773237858000,64.1247375,-21.7974543333333,3.67,6.69
1773237863000,64.1247147166667,-21.7979315,16.77,14.91
1773237868000,64.12465365,-21.7986808333333,26.63,24.88
1773237873000,64.12456105,-21.7996643333333,35.15,33.03
1773237878000,64.1244872166667,-21.800869,42.50,35.40
1773237885000,64.1244377166667,-21.8022313333333,34.12,52.81
1773237888000,64.1243985666667,-21.803777,90.16,57.16
1773237893000,64.1243746666667,-21.8053851666667,56.22,64.35
1773237898000,64.1243526333333,-21.8070105,56.82,53.94
1773237903000,64.1243307666667,-21.80865,57.31,54.63
1773237908000,64.1243089833333,-21.8103203333333,58.39,55.30
1773237913000,64.1242895,-21.8120066666667,58.94,54.93
1773237918000,64.1242632833333,-21.8136121666667,56.14,51.88
1773237924000,64.1242390833333,-21.8152861666667,48.77,51.83
1773237929000,64.1241913833333,-21.816965,58.78,46.21
1773237937000,64.1241542,-21.8187196666667,38.36,79.81
1773237939000,64.12412905,-21.820492,154.90,93.97
1773237942000,64.1241096166667,-21.8222686666667,103.49,93.99
1773237950000,64.12408475,-21.8240268333333,38.41,69.20
1773237954000,64.1240617,-21.8257801666667,76.61,63.73
1773237958000,64.1240562833333,-21.8277541666667,86.22,73.54
1773237963000,64.1240395166667,-21.82974,69.40,70.20
1773237973000,64.1240130666667,-21.8335218333333,66.08,57.80
1773237980000,64.1240400666667,-21.8354055,47.04,64.35
1773237987000,64.1241817333333,-21.8390005,90.09,58.08
1773237994000,64.1243008,-21.8408346666667,46.28,68.08
1773237998000,64.1244453166667,-21.8426041666667,78.62,52.73
1773238005000,64.1246030833333,-21.8442321666667,41.62,60.54
1773238009000,64.1247813333333,-21.8458041666667,70.94,58.31
1773238013000,64.1249861,-21.8473743333333,71.57,62.76
1773238018000,64.1252263333333,-21.8488701666667,55.69,53.49
1773238024000,64.1254452166667,-21.8502101666667,41.66,42.88
1773238030000,64.1258638166667,-21.8510986666667,38.07,34.60
1773238037000,64.1263373,-21.8506258333333,29.54,31.50
1773238042000,64.1264767333333,-21.8497718333333,31.86,29.28
1773238047000,64.1261993333333,-21.8491496666667,31.08,29.14
1773238054000,64.1257025,-21.8489003333333,29.09,45.63
1773238057000,64.1250805,-21.8486858333333,83.93,53.49
1773238062000,64.1243895,-21.8484555,55.90,62.10
1773238067000,64.1236935833333,-21.8482303333333,56.27,52.52
1773238072000,64.1230318,-21.8479853333333,53.67,47.91
1773238078000,64.1224213,-21.8477415,41.34,53.14
1773238081000,64.1218832333333,-21.8475356666667,72.79,45.26
1773238086000,64.1215283166667,-21.8474018333333,28.80,35.43
1773238093000,64.1213504833333,-21.8473391666667,10.29,13.06
1773238099000,64.1213186166667,-21.8473296666667,2.14,10.00
1773238104000,64.1210824,-21.8472423333333,19.16,14.53
1773238111000,64.1206589666667,-21.8470688333333,24.60,36.92
1773238114000,64.1201251333333,-21.8468085,72.83,45.25
1773238119000,64.1195781833333,-21.8464595,45.46,53.83
1773238124000,64.1189630666667,-21.8460073333333,51.72,51.04
1773238129000,64.1182085833333,-21.845402,64.00,49.71
1773238136000,64.1175272,-21.8448603333333,41.24,57.22
1773238140000,64.11681035,-21.8443251666667,75.45,61.43
1773238144000,64.1160630166667,-21.843879,77.29,64.79
1773238150000,64.1152972666667,-21.8435756666667,51.85,60.58
1773238155000,64.1145216,-21.8434826666667,62.19,52.59
1773238161000,64.11374235,-21.8435565,52.03,60.61
1773238165000,64.1129772166667,-21.843776,77.17,64.93
1773238169000,64.11222835,-21.8440428333333,75.84,62.08
1773238176000,64.11148645,-21.8443286666667,43.02,61.63
1773238180000,64.11074105,-21.8446301666667,75.75,56.62
1773238185000,64.1100114666667,-21.8450253333333,60.02,58.81
1773238191000,64.1093078166667,-21.845611,49.95,64.02
1773238195000,64.1084953833333,-21.8466063333333,92.21,59.33
1773238202000,64.1078501,-21.8476511666667,45.19,63.94
1773238207000,64.1072589333333,-21.8489048333333,64.51,54.55
1773238212000,64.10675155,-21.8502655,62.55,59.49
1773238217000,64.1063664,-21.8517641666667,60.80,62.49
1773238221000,64.1060674833333,-21.8533128333333,74.00,65.94
1773238225000,64.1058352333333,-21.8549071666667,73.45,62.14
1773238231000,64.1056741,-21.8565405,48.79,54.19
1773238237000,64.1055528166667,-21.8581948333333,48.88,46.51
1773238243000,64.1054564333333,-21.8598696666667,49.22,54.28
1773238247000,64.1053634333333,-21.8615336666667,73.32,56.66
1773238252000,64.10526855,-21.863132,56.40,55.08
1773238258000,64.10516085,-21.8646291666667,44.21,52.18
1773238262000,64.10501935,-21.8660611666667,64.17,56.04
1773238266000,64.1048166,-21.8675601666667,68.58,64.94
1773238270000,64.1045536833333,-21.8691018333333,72.33,54.76
1773238279000,64.1042428333333,-21.8705871666667,31.99,51.72
1773238284000,64.1038707666667,-21.8720431666667,58.98,76.64
1773238286000,64.1034487,-21.8734756666667,151.05,82.87
1773238292000,64.1029759333333,-21.8748801666667,51.67,76.56
1773238300000,64.1024626666667,-21.8762265,39.06,77.06
1773238302000,64.10193395,-21.8774843333333,152.61,74.14
1773238309000,64.1013979166667,-21.8786608333333,42.46,76.63
1773238315000,64.1008725166667,-21.8797303333333,46.90,45.44
1773238320000,64.10035605,-21.8807286666667,54.12,81.74
1773238322000,64.0997417166667,-21.8818471666667,157.10,80.51
1773238328000,64.0992265833333,-21.8827353333333,43.02,83.90
1773238332000,64.0986979666667,-21.8835923333333,64.82,50.91
1773238337000,64.0981528833333,-21.884448,52.91,54.42
1773238342000,64.0975853833333,-21.8852888333333,54.12,46.09
1773238349000,64.0970105833333,-21.8860926666667,38.52,72.29
1773238351000,64.09642445,-21.8868711666667,135.63,70.88
1773238362000,64.0952191833333,-21.8883396666667,49.69,73.10
1773238368000,64.0946038,-21.8890143333333,45.52,47.71
1773238373000,64.0939708666667,-21.8896591666667,55.47,54.09
1773238377000,64.0933261333333,-21.8902701666667,69.83,57.54
1773238382000,64.0926660666667,-21.8908341666667,56.41,55.01
1773238388000,64.0919878833333,-21.891329,47.49,62.48
1773238391000,64.0913120333333,-21.8917461666667,93.40,62.08
1773238397000,64.0905021833333,-21.8921268333333,55.16,61.55
1773238403000,64.0898217833333,-21.8923395,45.82,53.61
1773238407000,64.0891413,-21.8924621666667,68.31,48.81
1773238414000,64.0884422166667,-21.8925255,40.01,56.78
1773238418000,64.0877331,-21.8925756666667,71.00,57.17
1773238422000,64.0870386333333,-21.8926326666667,69.54,59.14
1773238428000,64.0863475333333,-21.8927386666667,46.21,58.20
1773238433000,64.0855049166667,-21.8929918333333,68.04,51.16
1773238439000,64.0848148166667,-21.8933665,47.32,59.28
1773238443000,64.0841386833333,-21.8939183333333,71.84,56.22
1773238448000,64.0834853333333,-21.8946598333333,58.39,54.43
1773238455000,64.0828769333333,-21.8955751666667,41.64,50.05
1773238460000,64.08232705,-21.896655,58.02,50.34
1773238465000,64.0818134,-21.897876,59.30,53.34
1773238471000,64.0813184333333,-21.8992136666667,51.11,51.01
1773238477000,64.0808515833333,-21.9005843333333,50.67,63.69
1773238480000,64.0804075166667,-21.9019511666667,99.33,62.98
1773238486000,64.0799803166667,-21.9033135,48.90,62.09
1773238492000,64.07957475,-21.9046668333333,47.85,48.80
1773238497000,64.0791778833333,-21.9060315,57.36,79.17
1773238499000,64.0787875833333,-21.907425,144.80,82.30
1773238504000,64.07840985,-21.9088298333333,57.72,87.00
1773238508000,64.0780433666667,-21.9102518333333,72.22,54.08
1773238515000,64.0776963666667,-21.9116801666667,40.85,50.94
1773238521000,64.0773554833333,-21.9131213333333,47.79,72.76
1773238523000,64.0770358666667,-21.9145588333333,141.11,70.69
1773238531000,64.07673435,-21.9159688333333,34.34,77.21
1773238539000,64.0761667166667,-21.918812,68.37,44.79
1773238546000,64.0759136333333,-21.9202486666667,38.72,54.89
1773238550000,64.0756894,-21.9216731666667,66.24,60.37
1773238553000,64.0755136,-21.9230856666667,85.67,61.68
1773238559000,64.075387,-21.9245265,42.87,49.30
1773238568000,64.0753175166667,-21.9259136666667,27.15,49.83
1773238570000,64.0752916166667,-21.9269101666667,87.35,40.87
1773238575000,64.0752919166667,-21.9273265,14.57,33.55
1773238581000,64.0752914666667,-21.9274643333333,4.02,6.06
1773238598000,64.0752915166667,-21.9275176666667,0.55,5.74
1773238605000,64.0752823833333,-21.9280596666667,13.56,16.17
1773238609000,64.07526585,-21.9289031666667,36.94,31.20
1773238613000,64.07524685,-21.9300001666667,48.03,36.47
1773238620000,64.0752143166667,-21.9312055,30.19,36.27
1773238626000,64.0751415,-21.9324395,36.32,35.25
1773238631000,64.0750277166667,-21.933693,44.81,62.79
1773238633000,64.0748527333333,-21.9349706666667,117.16,61.87
1773238640000,64.07462415,-21.9362005,33.41,81.91
1773238642000,64.0743852333333,-21.9373083333333,108.10,53.13
1773238648000,64.0742003833333,-21.9381038333333,26.28,50.45
1773238653000,64.0740567,-21.9387358333333,24.93,22.61
1773238660000,64.0738923,-21.9394508333333,20.20,20.63
1773238665000,64.0737176166667,-21.9398595,20.01,23.98
1773238669000,64.07336825,-21.9397141666667,35.54,39.16
1773238672000,64.0728651166667,-21.9395165,68.12,44.83
1773238678000,64.0723024666667,-21.9393371666667,37.90,48.34
1773238683000,64.0717248166667,-21.9391638333333,46.64,39.40
1773238689000,64.0711325333333,-21.9389788333333,39.88,46.75
1773238693000,64.0705273333333,-21.9387941666667,61.10,47.76
