ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773218922000,64.0855916833333,-21.9390936666667,0.00,0.00,0.00,false,false,0.00,0.00,0.00,0
1773218928000,64.0863187333333,-21.9378236666667,0.00,0.00,0.00,false,false,101.60,6.00,60.96,0
1773218930000,64.0863187333333,-21.9378236666667,36.87,0.00,0.00,true,false,0.66,2.00,1.19,1
1773218934000,64.0869549166667,-21.93682,65.55,56.27,53.46,false,false,76.98,4.00,69.28,0
1773218936000,64.0869549166667,-21.93682,42.58,0.00,53.46,true,false,4.33,2.00,7.80,1
1773218939000,64.0874916666667,-21.9359676666667,64.05,55.10,52.35,false,false,63.86,3.00,76.63,0
1773218941000,64.0874916666667,-21.9359676666667,43.37,0.00,52.35,true,false,5.80,2.00,10.44,1
1773218943000,64.0880323166667,-21.9350923333333,70.84,64.30,61.09,false,false,64.91,2.00,116.83,0
1773218947000,64.0880323166667,-21.9350923333333,18.20,18.20,17.29,false,false,12.82,4.00,11.54,0
1773218949000,64.08834555,-21.9345325,35.94,35.94,34.14,false,false,34.85,2.00,62.74,0
1773218951000,64.0883977666667,-21.9344308333333,32.11,32.11,30.51,false,false,14.39,2.00,25.90,0
1773218954000,64.0883977666667,-21.9344308333333,10.78,0.00,30.51,true,false,1.72,3.00,2.07,1
1773218956000,64.0884022,-21.9344151666667,0.00,0.00,0.00,true,true,5.28,2.00,9.50,2
1773218959000,64.0884022,-21.9344151666667,0.00,0.00,0.00,true,true,3.30,3.00,3.96,3
1773218961000,64.08841415,-21.9343915,0.00,0.00,0.00,true,true,1.06,2.00,1.91,4
1773218965000,64.08841415,-21.9343915,0.00,0.00,0.00,true,true,0.31,4.00,0.28,5
1773218969000,64.0884125,-21.9343941666667,0.00,0.00,0.00,true,true,0.18,4.00,0.16,6
1773218973000,64.08841255,-21.9343941666667,0.00,0.00,0.00,true,true,0.02,4.00,0.02,7
1773218975000,64.08841255,-21.9343941666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,8
1773218978000,64.0884129166667,-21.934394,0.00,0.00,0.00,true,true,0.04,3.00,0.05,9
1773218982000,64.0884383333333,-21.9343478333333,0.00,0.00,0.00,true,true,3.61,4.00,3.25,10
1773218985000,64.0886408666667,-21.9339193333333,23.83,7.72,7.33,false,false,31.10,3.00,37.32,0
1773218990000,64.0890004666667,-21.9330691666667,47.30,19.43,18.46,false,false,63.03,5.00,45.38,0
1773218994000,64.0894199833333,-21.9319775,63.31,30.75,29.21,false,false,72.98,4.00,65.68,0
1773218999000,64.0894199833333,-21.9319775,3.07,0.00,29.21,true,false,2.31,5.00,1.66,1
1773219001000,64.0898067,-21.930878,44.06,43.03,40.88,false,false,62.16,2.00,111.88,0
1773219003000,64.0898067,-21.930878,38.60,38.60,36.67,false,false,16.72,2.00,30.10,0
1773219013000,64.0903334833333,-21.9294241666667,27.62,27.62,26.24,false,false,89.41,10.00,32.19,0
1773219020000,64.0903335666667,-21.9294256666667,11.10,0.00,26.24,true,false,0.27,7.00,0.14,1
1773219022000,64.0903335666667,-21.9294256666667,0.00,0.00,0.00,true,true,1.75,2.00,3.15,2
1773219026000,64.0903343666667,-21.9294258333333,0.00,0.00,0.00,true,true,1.19,4.00,1.07,3
