ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773218922000,64.13952205,-21.8181651666667,0.00,0.00,0.00,false,false,0.00,0.00,0.00,0
1773218928000,64.1383719833333,-21.8165951666667,0.00,0.00,0.00,false,false,148.72,6.00,89.23,0
1773218930000,64.1383719833333,-21.8165951666667,53.97,0.00,0.00,true,false,0.96,2.00,1.73,1
1773218934000,64.1383719833333,-21.8165951666667,4.12,4.12,3.92,false,false,12.97,4.00,11.67,0
1773218936000,64.1383719833333,-21.8165951666667,8.74,0.00,3.92,true,false,8.74,2.00,15.73,1
1773218939000,64.1383719833333,-21.8165951666667,0.00,0.00,0.00,true,true,1.75,3.00,2.10,2
1773218941000,64.1383719833333,-21.8165951666667,0.00,0.00,0.00,true,true,1.13,2.00,2.04,3
1773218943000,64.1383719833333,-21.8165951666667,0.00,0.00,0.00,true,true,0.33,2.00,0.59,4
1773218947000,64.1383719833333,-21.8165951666667,0.00,0.00,0.00,true,true,0.10,4.00,0.09,5
1773218951000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,false,0.00,2.00,0.00,1
1773218954000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,2
1773218956000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,3
1773218959000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,3.00,0.00,4
1773218961000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,5
1773218965000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,6
1773218969000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,7
1773218973000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,4.00,0.00,8
1773218975000,64.1369645833333,-21.8128256666667,0.00,0.00,0.00,true,true,0.00,2.00,0.00,9
1773218982000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,false,0.00,4.00,0.00,1
1773218985000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,2
1773218990000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,3
1773218994000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,4
1773218999000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,5
1773219001000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,6
1773219003000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,7
1773219013000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,10.00,0.00,8
1773219020000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,7.00,0.00,9
1773219022000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,10
1773219026000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,11
1773219028000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,12
1773219032000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,13
1773219036000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,14
1773219038000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,15
1773219041000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,16
1773219044000,64.1369029333333,-21.8105653333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,17
1773219051000,64.1364749,-21.8069765,0.00,0.00,0.00,true,false,0.00,2.00,0.00,1
1773219054000,64.1364749,-21.8069765,0.00,0.00,0.00,true,true,0.00,3.00,0.00,2
