ts,lat,lng,kalman_speed,endpoint_speed,final_speed,is_stale,is_stationary,raw_dist,raw_dt,raw_implied,stat_count
1773218922000,64.1234432,-21.7875538333333,0.00,0.00,0.00,false,false,0.00,0.00,0.00,0
1773218928000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,false,0.00,6.00,0.00,1
1773218930000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,2
1773218934000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,3
1773218936000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,4
1773218939000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,5
1773218941000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,6
1773218943000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,7
1773218947000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,8
1773218949000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,9
1773218951000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,10
1773218954000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,11
1773218956000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,12
1773218959000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,13
1773218961000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,14
1773218965000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,15
1773218969000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,16
1773218973000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,17
1773218975000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,18
1773218978000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,19
1773218982000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,20
1773218985000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,21
1773218990000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,22
1773218994000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,23
1773218999000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,24
1773219001000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,25
1773219003000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,26
1773219013000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,10.00,0.00,27
1773219020000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,7.00,0.00,28
1773219022000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,29
1773219026000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,30
1773219028000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,31
1773219032000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,32
1773219036000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,4.00,0.00,33
1773219038000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,34
1773219041000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,35
1773219044000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,36
1773219049000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,37
1773219051000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,38
1773219054000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,39
1773219056000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,2.00,0.00,40
1773219059000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,41
1773219062000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,42
1773219067000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,5.00,0.00,43
1773219070000,64.1234432,-21.7875538333333,0.00,0.00,0.00,true,true,0.00,3.00,0.00,44
